Sample	PopInfo	Ploidy						
H244	28	6						
H245	28	6						
H246	28	6						
H247	28	6						
H248	28	6						
H249	28	6						
H250	28	6						
H251	28	6						
H252	28	6						
H253	28	6						
H254	28	6						
H255	28	6						
H256	28	6						
H257	28	6						
H102	29	6						
H103	29	6						
H104	29	6						
H105	29	6						
H106	29	6						
H107	29	6						
H108	29	6						
H109	29	6						
H110	29	6						
H111	29	6						
H112	29	6						
H113	29	6						
H114	29	6						
H115	29	6						
H116	29	6						
H117	29	6						
H118	29	6						
H119	29	6						
H120	29	6						
H121	29	6						
H158	29	6						
H159	29	6						
H160	29	6						
H161	29	6						
H162	29	6						
H163	29	6						
H164	29	6						
H165	29	6						
H166	29	6						
H167	29	6						
H11	30	6						
H12	30	6						
H13	30	6						
H14	30	6						
H57	30	6						
H58	30	6						
H59	30	6						
H60	30	6						
H61	30	6						
H62	30	6						
H63	30	6						
H64	30	6						
H65	30	6						
H66	30	6						
H67	30	6						
H68	30	6						
H69	30	6						
H70	30	6						
H71	30	6						
H72	30	6						
H73	30	6						
H74	30	6						
H75	30	6						
H76	30	6						
H1	31	6						
H2	31	6						
H7	31	6						
H8	31	6						
H9	31	6						
H10	31	6						
H142	31	6						
H143	31	6						
H144	31	6						
H145	31	6						
H146	31	6						
H147	31	6						
H148	31	6						
H149	31	6						
H150	31	6						
H151	31	6						
H152	31	6						
H153	31	6						
H154	31	6						
H155	31	6						
H156	31	6						
H157	31	6						
H77	32	6						
H78	32	6						
H79	32	6						
H80	32	6						
H81	32	6						
H82	32	6						
H83	32	6						
H84	32	6						
H85	32	6						
H86	32	6						
H87	32	6						
H88	32	6						
H89	32	6						
H90	32	6						
H91	32	6						
H92	32	6						
H93	32	6						
H94	32	6						
H95	32	6						
H96	32	6						
H97	32	6						
H100	32	6						
H101	32	6						
H132	32	6						
H133	32	6						
H134	32	6						
H135	32	6						
H136	32	6						
H137	32	6						
H138	32	6						
H139	32	6						
H140	32	6						
H141	32	6						
H32	33	6						
H35	33	6						
H37	33	6						
H38	33	6						
H39	33	6						
H40	33	6						
H41	33	6						
H42	33	6						
H43	33	6						
H44	33	6						
H45	33	6						
H46	33	6						
H47	33	6						
H48	33	6						
H49	33	6						
H50	33	6						
H51	33	6						
H52	33	6						
H53	33	6						
H54	33	6						
H55	33	6						
H56	33	6						
H122	33	6						
H123	33	6						
H124	33	6						
H125	33	6						
H126	33	6						
H127	33	6						
H128	33	6						
H129	33	6						
H130	33	6						
H131	33	6						
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
