		F58red	A12green	B3blue	A415black	G431blue	J15green	H231red
D101_5	5	88	120	145	170	-9	195	144
D101_5	5	90	129	145	184	-9	195	146
D101_5	5	-9	-9	-9	-9	-9	-9	-9
D101_5	5	-9	-9	-9	-9	-9	-9	-9
D101_5	5	-9	-9	-9	-9	-9	-9	-9
D101_5	5	-9	-9	-9	-9	-9	-9	-9
D102_5	5	78	129	129	166	-9	195	144
D102_5	5	88	129	165	182	-9	198	144
D102_5	5	-9	-9	-9	-9	-9	-9	-9
D102_5	5	-9	-9	-9	-9	-9	-9	-9
D102_5	5	-9	-9	-9	-9	-9	-9	-9
D102_5	5	-9	-9	-9	-9	-9	-9	-9
D103_5	5	80	96	145	176	274	195	144
D103_5	5	88	123	165	178	277	195	146
D103_5	5	-9	-9	-9	-9	-9	-9	-9
D103_5	5	-9	-9	-9	-9	-9	-9	-9
D103_5	5	-9	-9	-9	-9	-9	-9	-9
D103_5	5	-9	-9	-9	-9	-9	-9	-9
D104_5	5	82	120	129	178	-9	195	144
D104_5	5	82	120	165	182	-9	198	146
D104_5	5	-9	-9	-9	-9	-9	-9	-9
D104_5	5	-9	-9	-9	-9	-9	-9	-9
D104_5	5	-9	-9	-9	-9	-9	-9	-9
D104_5	5	-9	-9	-9	-9	-9	-9	-9
D105_5	5	82	120	153	174	-9	195	144
D105_5	5	88	120	153	186	-9	198	144
D105_5	5	-9	-9	-9	-9	-9	-9	-9
D105_5	5	-9	-9	-9	-9	-9	-9	-9
D105_5	5	-9	-9	-9	-9	-9	-9	-9
D105_5	5	-9	-9	-9	-9	-9	-9	-9
D106_5	5	78	117	129	166	-9	195	144
D106_5	5	82	123	161	178	-9	195	146
D106_5	5	-9	-9	-9	-9	-9	-9	-9
D106_5	5	-9	-9	-9	-9	-9	-9	-9
D106_5	5	-9	-9	-9	-9	-9	-9	-9
D106_5	5	-9	-9	-9	-9	-9	-9	-9
D107_5	5	80	114	133	174	-9	195	144
D107_5	5	80	117	161	174	-9	198	144
D107_5	5	-9	-9	-9	-9	-9	-9	-9
D107_5	5	-9	-9	-9	-9	-9	-9	-9
D107_5	5	-9	-9	-9	-9	-9	-9	-9
D107_5	5	-9	-9	-9	-9	-9	-9	-9
D108_5	5	76	120	153	174	-9	195	144
D108_5	5	88	132	161	174	-9	195	144
D108_5	5	-9	-9	-9	-9	-9	-9	-9
D108_5	5	-9	-9	-9	-9	-9	-9	-9
D108_5	5	-9	-9	-9	-9	-9	-9	-9
D108_5	5	-9	-9	-9	-9	-9	-9	-9
D132_7	7	78	120	129	168	-9	195	142
D132_7	7	78	120	129	168	-9	195	144
D132_7	7	-9	-9	-9	-9	-9	-9	-9
D132_7	7	-9	-9	-9	-9	-9	-9	-9
D132_7	7	-9	-9	-9	-9	-9	-9	-9
D132_7	7	-9	-9	-9	-9	-9	-9	-9
D133_7	7	78	120	129	176	-9	195	144
D133_7	7	88	123	157	176	-9	198	146
D133_7	7	-9	-9	-9	-9	-9	-9	-9
D133_7	7	-9	-9	-9	-9	-9	-9	-9
D133_7	7	-9	-9	-9	-9	-9	-9	-9
D133_7	7	-9	-9	-9	-9	-9	-9	-9
D134_7	7	80	126	153	192	274	195	142
